,comparison,mean_gap,ci95_low,ci95_high,p(model_b_wins),n_boot_used
0,Sublex_Score > 23-sfcost-Sublex-prod,-0.0022311589952596013,-0.014743820022966675,0.010931287352114915,0.363,5000
1,23-sfcost-Sublex-prod > 23-sfcost-prod,-0.012031981340142498,-0.017380496177456885,-0.0066439814502899435,0.0,5000
2,Sublex_Score > 23-sfcost-prod,-0.014263140335402099,-0.025932170682537482,-0.0023819450242941495,0.0074,5000
3,nom_fit > Sublex_Score,-0.024630589942953012,-0.043256350770219665,-0.0058896670320550265,0.0042,5000
4,nom_fit > 23-sfcost-Sublex-prod,-0.02686174893821261,-0.044152893065353485,-0.009374877391133518,0.0018,5000
5,nom_fit > 23-sfcost-prod,-0.03889373027835511,-0.05618027121822092,-0.021491414214778695,0.0,5000
