,base,GenSR,Sublex_Score
1160,sj-i-g-o-zh-v,sj-i-g-zh-v-a,9.25352535842626e-07
1196,g-zh-e-g,g-zh-g-a,4.582097474e-05
1260,zh-u-g-o-zh-g,zh-u-g-zh-g-a,1.1745101572497545e-07
1261,b-u-g-zh-e-g,b-u-g-zh-g-a,4.582097474e-05
1262,zh-a-gj-e-zh-g,zh-a-g-zh-g-a,
1263,p-u-gj-e-zh-g,p-u-g-zh-g-a,
1328,g-zh-o-g,g-zh-g-a,4.582097474e-05
1393,b-u-gj-e-zh-g,b-u-g-zh-g-a,
1394,gj-e-zh-g,g-zh-g-a,
1459,g-o-zh-d,g-zh-d-a,7.914691823990151e-09
1475,m-a-gj-e-zh-d,m-a-g-zh-d-a,
1476,rj-i-g-zh-o-d,rj-i-g-zh-d-a,8.600145931387965e-06
1477,g-zh-e-d,g-zh-d-a,8.600145931387965e-06
1558,g-zh-o-d,g-zh-d-a,8.600145931387965e-06
1559,g-zh-e-z,g-zh-z-a,4.4819874039347976e-08
1586,zh-u-g-zh-e-z,zh-u-g-zh-z-a,4.4819874039347976e-08
1614,pj-i-gj-e-zh-z,pj-i-g-zh-z-a,
1642,bj-i-g-zh-e-z,bj-i-g-zh-z-a,4.4819874039347976e-08
1643,gj-e-zh-z,g-zh-z-a,
1659,g-o-zh-l,g-zh-l-a,9.425426701e-06
1713,l-u-g-zh-e-l,l-u-g-zh-l-a,0.0012089817292237
1714,n-u-g-o-zh-l,n-u-g-zh-l-a,9.425426701e-06
1715,gj-e-zh-l,g-zh-l-a,
1934,g-zh-o-l,g-zh-l-a,0.0012089817292237
1999,g-zh-e-l,g-zh-l-a,0.0012089817292237
2000,tj-i-g-zh-o-n,tj-i-g-zh-n-a,0.0012089817292237
2001,k-u-gj-e-zh-n,k-u-g-zh-n-a,
2002,m-a-g-zh-e-n,m-a-g-zh-n-a,0.0012089817292237
2003,b-a-g-o-zh-n,b-a-g-zh-n-a,2.9125338532e-06
2004,g-zh-o-n,g-zh-n-a,0.0012089817292237
2020,m-a-g-zh-o-n,m-a-g-zh-n-a,0.0012089817292237
2021,gj-e-zh-n,g-zh-n-a,
2022,p-u-g-zh-e-n,p-u-g-zh-n-a,0.0012089817292237
2023,g-zh-e-n,g-zh-n-a,0.0012089817292237
2024,z-u-g-o-zh-n,z-u-g-zh-n-a,2.9125338532e-06
2025,m-u-g-o-zh-n,m-u-g-zh-n-a,2.9125338532e-06
2026,lj-i-g-zh-e-n,lj-i-g-zh-n-a,0.0012089817292237
2027,gj-i-gj-e-zh-n,gj-i-g-zh-n-a,
2028,g-o-z,g-z-a,0.1872565296478106
2244,gj-e-z,g-z-a,0.1657572580813796
2252,sh-i-gj-e-z,sh-i-g-z-a,0.1657572580813796
